id,name,province_id
1052,นาน้อย,82
1477,เชียงของ,126
1314,ห้วยราช,132
970,ภูซาง,87
1113,สบปราบ,92
1270,วังชิ้น,85
1045,ท่าแซะ,86
1487,เลิงนกทา,89
1320,เขาสมิง,81
1454,สำโรงทาบ,124
1093,พระแสง,150
907,ถลาง,103
1524,บางปลาม้า,143
922,สีดา,141
1067,บางรัก,151
1661,เมืองระนอง,90
1713,เมืองบึงกาฬ,100
1124,สามโก้,116
1076,บ้านนา,108
1044,ท่าลี่,79
1681,ตระการพืชผล,149
1504,โพนพิสัย,115
1660,เมืองยโสธร,89
925,เทพา,94
1572,เชียงกลาง,82
928,เพ็ญ,125
1329,เรณูนคร,99
929,เสนา,154
1292,สูงเนิน,141
930,แกดำ,133
1070,บางไทร,154
1288,สายบุรี,110
932,แว้ง,118
1132,หัวไทร,152
1207,ท่าใหม่,117
1181,คีรีมาศ,114
1390,บางละมุง,96
1744,เมืองอ่างทอง,116
1481,เชียงแสน,126
1794,เมืองฉะเชิงเทรา,140
1566,อาจสามารถ,122
1257,ภูเขียว,107
1486,เมืองเลย,79
1024,ดงหลวง,121
1686,นิคมคำสร้อย,121
935,กงหรา,101
1064,บางบาล,154
1127,สีคิ้ว,141
968,พิปูน,152
1037,ทุ่งสง,152
1788,พระนครศรีอยุธยา,154
1048,นบพิตำ,152
1482,เนินสง่า,107
1679,คีรีรัฐนิคม,150
1526,บึงสามพัน,139
1677,กุดข้าวปุ้น,149
1161,โนนไทย,141
1649,เกษตรวิสัย,122
1003,กุดชุม,89
1105,ลานสกา,152
1004,กุดบาก,105
992,หางดง,138
1265,รัตภูมิ,94
1362,ควนเนียง,94
967,พิชัย,136
1231,บุณฑริก,149
1555,วาริชภูมิ,105
1464,หัวตะพาน,144
1712,เมืองนครพนม,99
1505,ไทยเจริญ,89
1545,มัญจาคีรี,106
881,คง,141
1282,สทิงพระ,94
1739,เมืองราชบุรี,111
1715,เมืองพิจิตร,102
1023,ชุมแสง,131
1799,เมืองแม่ฮ่องสอน,145
1184,จตุจักร,151
939,จะแนะ,118
1154,แสวงหา,116
940,ชนแดน,139
1180,ควนขนุน,101
941,ชะอวด,152
1250,ปากพนัง,152
1565,หว้านใหญ่,121
1398,บ้านค่าย,91
1474,เขาชะเมา,91
1580,เมืองตราด,81
1349,โพธาราม,111
1476,เขื่องใน,149
1735,เมืองชัยภูมิ,107
969,พิมาย,141
1601,ขามสะแกแสง,141
1141,เมยวดี,122
1697,ศรีนครินทร์,101
1471,องครักษ์,108
942,ชุมแพ,106
960,ปะทิว,86
1153,แม่แตง,138
1585,เมืองแพร่,85
1128,สีชมพู,106
1446,สรรคบุรี,97
1700,ศรีสัชนาลัย,114
949,นาดูน,133
1616,ประจันตคาม,142
1011,คอนสาร,107
1527,บึงโขงหลง,100
1396,บ่อเกลือ,82
1757,เมืองมุกดาหาร,121
1640,หนองกุงศรี,129
1758,เมืองร้อยเอ็ด,122
1169,กมลาไสย,129
1423,ภูกามยาว,87
1767,จตุรพักตรพิมาน,122
959,บางแพ,111
1136,อู่ทอง,143
1736,เมืองนครนายก,108
996,แม่ทะ,92
1259,ภูเวียง,106
1542,พัฒนานิคม,104
944,ดุสิต,151
1515,ถ้ำพรรณรา,152
981,ลำดวน,124
1740,เมืองสระบุรี,112
1465,หาดสำราญ,80
1441,ศรีบรรพต,101
1235,บ้านตาก,78
1610,บรรพตพิสัย,131
946,ตาคลี,131
1215,น้ำขุ่น,149
1708,เมืองจันทร์,123
1514,ตะกั่วป่า,88
1239,บ้านลาด,127
1664,เมืองลำพูน,93
1648,อินทร์บุรี,135
997,แม่ทา,93
1135,อัมพวา,147
1529,บ้านนาสาร,150
1101,มหาราช,154
1407,บ้านโป่ง,111
1343,แม่แจ่ม,138
1704,หนองขาหย่าง,137
1763,เมืองเพชรบุรี,127
1391,บางสะพาน,153
948,ธารโต,83
1674,กบินทร์บุรี,142
1698,ศรีบุญเรือง,148
1168,ไพศาลี,131
1243,บ้านโคก,136
1041,ท่าบ่อ,115
1033,ตาลสุม,149
1077,ประทาย,141
1053,นาหว้า,99
1059,น้ำโสม,125
1762,เมืองเชียงราย,126
1381,ท่าคันโท,129
1325,เต่างอย,105
950,นาตาล,149
1480,เชียงยืน,133
1379,ทุ่งหว้า,84
945,ตากใบ,118
952,นาบอน,152
1047,นครไทย,120
1258,ภูเพียง,82
1709,เมืองชลบุรี,96
1424,ภูผาม่าน,106
1252,พระพรหม,152
1579,เมืองตรัง,80
1055,นาแห้ว,79
1619,พระพุทธบาท,112
1633,ศรีสวัสดิ์,128
1342,แม่เมาะ,92
1720,โคกโพธิ์ไชย,106
1138,เขมราฐ,149
1279,ศรีวิไล,100
1367,ชัยบาดาล,104
1615,บ้านนาเดิม,150
1639,สุวรรณภูมิ,122
1293,สูงเม่น,85
1193,ดอยเต่า,138
1553,วังสามหมอ,125
1416,พนมดงรัก,124
1500,โพธิ์ชัย,122
1428,ราชสาส์น,140
1203,ท่าวุ้ง,104
957,บางนา,151
1801,เมืองสมุทรปราการ,146
1198,ทุ่งครุ,151
1015,จอมทอง,151
958,บางแค,151
1461,หนองเสือ,119
1143,แจ้ห่ม,92
1303,หนองหิน,79
1213,นาเชือก,133
1534,ประโคนชัย,132
961,ปากชม,79
1354,กรงปินัง,83
1562,สุไหงโก-ลก,118
1659,เมืองพังงา,88
1244,บ้านไผ่,106
1435,วัฒนานคร,113
1302,หนองหาน,125
962,ผาขาว,79
1488,เวียงชัย,126
1780,เมืองอุตรดิตถ์,136
1338,แม่พริก,92
1290,สิรินธร,149
1201,ท่ามะกา,128
964,พบพระ,78
1538,พยุหะคีรี,131
1092,พระยืน,106
1318,เกาะยาว,88
1590,แหลมสิงห์,117
1528,บ้านตาขุน,150
1225,บางปะกง,140
1468,ห้วยเม็ก,129
1695,วิเชียรบุรี,139
1699,ศรีประจันต์,143
1084,ป่าซาง,93
1598,กันทรวิชัย,133
1540,พรหมพิราม,120
1684,ทุ่งเขาหลวง,122
1104,ลาดยาว,131
1711,เมืองนครปฐม,98
1291,สุคิริน,118
1510,ชุมพลบุรี,124
1350,โพนทราย,122
1460,หนองเรือ,106
1287,สามพราน,98
975,ยี่งอ,118
1614,บึงสามัคคี,130
1693,ลาดหลุมแก้ว,119
1483,เมืองตาก,78
1286,สามง่าม,102
1185,จัตุรัส,107
1247,ปลวกแดง,91
1000,กระสัง,132
982,ลำทับ,95
1069,บางเลน,98
1027,ดอนตูม,98
1410,ปะเหลียน,80
1001,กันตัง,80
1294,ส่องดาว,105
1388,บางปะอิน,154
1519,นครชัยศรี,98
984,สบเมย,145
1134,อมก๋อย,138
1756,เมืองพิษณุโลก,120
1749,สว่างวีระวงศ์,149
1145,แม่ริม,138
1057,น้ำพอง,106
1050,นางรอง,132
1620,พลับพลาชัย,132
987,สังคม,115
1100,ภูเรือ,79
1210,นครหลวง,154
1642,หนองบุญมาก,141
1503,โพธิ์ไทร,149
1129,หนองฮี,122
1121,สามชัย,129
1706,หนองสองห้อง,106
1389,บางระจัน,135
1166,ไทรโยค,128
1371,ดอนเมือง,151
1019,จักราช,141
1719,แก้งสนามนาง,141
1782,เมืองเชียงใหม่,138
1249,ปากช่อง,141
1322,เชียงคำ,87
1240,บ้านหมอ,112
991,หันคา,97
1651,เก้าเลี้ยว,131
1752,เดิมบางนางบวช,143
1205,ท่าหลวง,104
1692,ร่อนพิบูลย์,152
1405,บ้านแพ้ว,134
1776,เมืองบุรีรัมย์,132
1462,หนองใหญ่,96
1065,บางบ่อ,146
1394,บึงบูรพ์,123
1358,คลองท่อม,95
1658,เมืองพะเยา,87
966,พร้าว,138
888,ฝาง,138
1745,เวียงป่าเป้า,126
1577,เบญจลักษ์,123
995,แคนดง,132
1596,กระทุ่มแบน,134
1670,แม่สะเรียง,145
1144,แม่จัน,126
1151,แม่ออน,138
1479,เชียงดาว,138
924,เถิน,92
1589,แม่ลาน้อย,145
998,แม่ใจ,87
1766,ขาณุวรลักษบุรี,130
1056,น้ำปาด,136
1490,เวียงแหง,138
1687,บางขุนเทียน,151
971,ภูพาน,105
1216,น้ำหนาว,139
1109,วังยาง,99
1022,ชุมพวง,141
1315,อุ้มผาง,78
1546,ย่านตาขาว,80
1696,วิเศษชัยชาญ,116
1618,พญาเม็งราย,126
1511,ดอนเจดีย์,143
1707,เมืองกระบี่,95
1251,ป่าติ้ว,89
1355,กำแพงแสน,98
1018,จอมพระ,124
1386,นายายอาม,117
1125,สามโคก,119
1156,โชคชัย,141
1768,ด่านมะขามเตี้ย,128
1685,ทุ่งเสลี่ยม,114
1308,หนองไผ่,139
937,กะพ้อ,110
990,สิเกา,80
1217,บัวใหญ่,141
1563,หนองมะโมง,97
1209,ธาตุพนม,99
1158,โนนสัง,148
1005,กุดรัง,133
1049,นากลาง,148
1770,พยัคฆภูมิพิสัย,133
1007,ขุนยวม,145
1351,ไทรน้อย,109
1548,ลาดกระบัง,151
1316,อ่าวลึก,95
1359,คลองหลวง,119
1010,ควนโดน,84
978,รัษฎา,80
1724,ค่ายบางระจัน,135
1623,ยางชุมน้อย,123
1345,แวงใหญ่,106
1174,กู่แก้ว,125
1272,วังม่วง,112
1653,เขาสวนกวาง,106
1502,โพธิ์ทอง,116
1164,ไชยวาน,125
