id,name,code,district_id
1130,นาดี,43120,1328
1131,นาดี,42120,1373
1132,นาทม,48140,910
1133,นาทม,41310,1036
1134,นาภู,44210,1624
1135,นามน,46230,911
1136,นายม,37000,1798
1137,นายม,67000,1783
1138,นาวง,92130,1313
1139,นาสี,39270,1638
1140,นาหอ,42120,1373
1141,นาฮี,47170,1647
1142,นาเข,48140,1241
1143,นาแก,35110,1723
1144,นาแก,39170,954
1145,นาแก,48130,912
1146,นาแก,52110,884
1147,นาแค,41380,953
1148,นาแว,80150,902
1149,นาโก,46110,1676
1150,นาใน,47130,1539
1151,นาใน,48190,1594
1152,นิคม,46140,1558
1153,นิคม,31150,919
1154,บองอ,96130,976
1155,บะฮี,47130,1539
1156,บาตง,96150,1268
1157,บานา,94000,1738
1158,บาลอ,95140,979
1159,บาละ,95120,938
1160,บุดี,95000,1582
1161,บุฮม,42110,1478
1162,บุ่ง,37000,1798
1163,ปงตำ,50320,1595
1164,ปทุม,34000,1804
1165,ปริก,80240,1380
1166,ปริก,90120,985
1167,ปรือ,32140,1079
1168,ปะคำ,31220,913
1169,ปะตง,22180,1118
1170,ปะแต,95120,916
1171,ปะโค,41250,1002
1172,ปะโค,41110,1356
1173,ปะโค,43000,1743
1174,ปะโด,94140,915
1175,ปากู,94140,1605
1176,ปาฝา,45000,1020
1177,ปูยู,91000,1583
1178,ผาตอ,55140,1382
1179,พงษ์,55210,1452
1180,พนอม,48120,1383
1181,พยอม,13170,1271
1182,พราน,33150,1008
1183,พลวง,22210,1652
1184,พะตง,90110,1312
1185,พะวง,90000,1665
1186,พะวอ,63110,1149
1187,พุคา,15110,1401
1188,พุแค,30000,1791
1189,ภาชี,13140,914
1190,ภูคา,55120,886
1191,ภูปอ,46000,1773
1192,ภูมิ,66120,1525
1193,ภูวง,49160,1301
1194,ภูหอ,42230,1099
1195,มะมุ,85110,1170
1196,มะอึ,45170,1384
1197,มายอ,94140,915
1198,ม่วง,35130,1544
1199,ม่วง,47140,1400
1200,ยะรม,95110,927
1201,ยะลา,95000,1582
1202,ยะหา,95120,916
1203,ยาบี,94170,1297
1204,ยามู,94150,1262
1205,ยุโป,95000,1582
1206,ระบำ,61160,1106
1207,ระวะ,90140,977
1208,ระเว,34110,1748
1209,ละงู,91110,917
1210,ละมอ,92170,955
1211,ละลม,33140,1256
1212,ละแม,86170,918
1213,ละแอ,95120,916
1214,ลางา,94140,915
1215,ลำชี,46130,1183
1216,ลำปำ,93000,1714
1217,ลำภี,82120,1607
1218,ลำภู,96000,1754
1219,ลำภู,39000,1803
1220,ลำโพ,11110,1523
1221,ลิดล,95000,1582
1222,วาวี,57180,1340
1223,ศาลา,52130,1137
1224,ศิลา,40000,1734
1225,ศิลา,67120,1463
1226,สกาด,55120,886
1227,สตึก,31150,919
1228,สถาน,55150,1052
1229,สถาน,57140,1477
1230,สถาน,55120,886
1231,สนวน,31000,1314
1232,สบบง,56110,970
1233,สมัย,52170,1113
1234,สมุด,32140,1079
1235,สรอย,54160,1270
1236,สลุย,86140,1045
1237,สวาท,35120,1487
1238,สวาย,33170,1535
1239,สวาย,32000,1760
1240,สะกำ,94140,915
1241,สะตอ,23130,1320
1242,สะนอ,94160,974
1243,สะแก,31150,919
1244,สะโน,32170,1454
1245,สากอ,96140,1561
1246,สาคร,91150,947
1247,สาคู,84210,1093
1248,สาคู,83110,907
1249,สาลี,72150,1524
1250,สาวอ,96150,1268
1251,สิชล,80120,921
1252,สีดา,30430,922
1253,สีลม,10500,1067
1254,สีออ,41110,1356
1255,ส้าน,55110,1331
1256,หงาว,85000,1661
1257,หงาว,57160,926
1258,หลุบ,46000,1773
1259,หอคำ,38000,1713
1260,ห้วย,37110,1689
1261,อบทม,14160,1124
1262,อมฤต,13120,1088
1263,อาษา,26110,1076
1264,อาฮี,42140,1044
1265,อีเซ,33120,1785
1266,เกษม,34130,1681
1267,เขวา,44000,1777
1268,เขิน,33130,1609
1269,เซกา,38150,923
1270,เซิม,43120,1504
1271,เดิด,35000,1660
1272,เทพา,90150,925
1273,เบตง,95110,927
1274,เบิด,32130,1426
1275,เปือ,55160,1572
1276,เป้า,34130,1681
1277,เพ็ญ,41150,928
1278,เรณู,48170,1329
1279,เว่อ,46120,1263
1280,เสนา,13000,993
1281,เสนา,13110,929
1282,เสมา,30170,1292
1283,แกดำ,44190,930
1284,แกลง,21000,1662
1285,แก้ง,34160,1323
1286,แคตก,13190,1070
1287,แชแล,41110,1356
1288,แป้น,94110,1288
1289,แว้ง,96160,932
1290,แสลง,22000,1753
1291,แหลม,80170,1132
1292,โขมง,22120,1207
1293,โตนด,30160,1159
1294,โตนด,64160,1181
1295,โป่ง,42120,1373
1296,โป่ง,20150,1390
1297,โพสะ,14000,1744
1298,โยนก,57150,1481
1299,โสธร,24000,1794
1300,โหรา,45160,1566
1301,โอโล,36110,1257
1302,ใจดี,33140,1175
1303,ใหม่,30160,1159
1304,ไคสี,38000,1713
1305,ไชโย,14140,934
1307,กกดู่,42000,1486
1308,กกตูม,49140,1024
1309,กกทอง,42000,1486
1310,กกแดง,49130,1686
1311,กกแรต,64170,1353
1312,กงหรา,93000,935
1313,กบเจา,13250,1064
1314,กระโด,94160,974
1315,กระโพ,32120,1040
1316,กฤษณา,30140,1127
1317,กฤษณา,72150,1524
1318,กฤษณา,33140,1175
1319,กะทูน,80270,968
1320,กะทู้,83120,936
1321,กะปาง,80110,1037
1322,กะมัง,13000,1788
1323,กะหรอ,80160,1048
1324,กะฮาด,36130,1482
1325,กะเฉด,21000,1662
1326,กะเปา,84180,1679
1327,กะแดะ,84160,1600
1328,กะไหล,82130,1604
1329,กันจุ,67160,1526
1330,กาตอง,95120,916
1331,กาบัง,95120,938
